Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
61505,TrueMove H,Pathumwan,2024-08-12T22:53:08.911167Z,16.91714374710563,45.613,273396576.2033727,126544394.50436904,,104.28.246.147
27203,"ByteArk Co., Ltd.",Bangrak,2024-08-12T22:53:29.522408Z,18.14569195626764,65.084,296303868.8630546,167624904.59541222,,104.28.246.147
36978,AIS Fibre,Bangkok,2024-08-12T22:53:47.956611Z,19.49546328130888,52.815,303356562.5595014,175971378.01040843,,104.28.246.147
17560,TrueMove H,Bangkok,2024-08-12T22:54:05.953739Z,21.61015407807201,122.852,222755001.876252,143312518.63606772,,104.28.246.147
49640,MinetHost Corporation,Bangkok,2024-08-12T22:54:25.998927Z,21.61015407807201,51.763,302132055.6218034,122960658.24624254,,104.28.246.147
32336,Campana,Bangkok,2024-08-12T22:54:46.930171Z,21.61015407807201,53.38,246889910.00225863,151647325.42492852,,104.28.246.147
11823,TCC Technology,Bangkok,2024-08-12T22:55:06.073854Z,21.61015407807201,1800000.0,0.0,0.0,,104.28.246.147
12443,DTAC,Bangkok,2024-08-12T22:55:06.838624Z,21.61015407807201,61.035,251393850.75512487,118959060.58178723,,104.28.246.147
65396,Nipa Cloud,Bangkok,2024-08-12T22:55:28.012619Z,21.61015407807201,155.149,243036534.19836155,130815225.00432597,,104.28.246.147
23295,3BB,Pathum Thani,2024-08-12T22:55:49.030579Z,28.91592806104837,54.504,283904295.19501054,155380020.94986284,,104.28.246.147
